"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Sep 23 12:02:45 UTC 2021","Thu Sep 23 12:03:13 UTC 2021","27648","","test","TestRegister","","","Sravnenie","Проверка удаления из сравнения"
"broken","Thu Sep 23 11:50:42 UTC 2021","Thu Sep 23 11:50:43 UTC 2021","1466","","test","TestRegister","","","Add to favoutites","Test add to favourites in personal "
"passed","Thu Sep 23 11:56:47 UTC 2021","Thu Sep 23 11:57:00 UTC 2021","13357","","test","TestRegister","",""," test logo","Test test logo"
"passed","Thu Sep 23 11:46:23 UTC 2021","Thu Sep 23 11:46:35 UTC 2021","11732","","test","TestRegister","","","Close choose sity click yes","WTF!&BRO!&"
"broken","Thu Sep 23 12:00:52 UTC 2021","Thu Sep 23 12:01:19 UTC 2021","27949","","test","TestRegister","","","Проверка удаления товара","Проверка удаления товара"
"passed","Thu Sep 23 12:04:48 UTC 2021","Thu Sep 23 12:06:38 UTC 2021","110570","","test","TestRegister","","","Проверка увелечение цены всех товаров","Проверка увелечение цены всех товаров"
"passed","Thu Sep 23 11:53:53 UTC 2021","Thu Sep 23 11:54:30 UTC 2021","37308","","test","TestRegister","",""," test stocks","Test test stocks"
"broken","Thu Sep 23 11:47:35 UTC 2021","Thu Sep 23 11:47:59 UTC 2021","23372","","test","TestRegister","","","Autorizationr","Проверка на авторизацию"
"passed","Thu Sep 23 11:53:13 UTC 2021","Thu Sep 23 11:53:44 UTC 2021","30244","","test","TestRegister","","","Catalog test_ordering","Test test_ordering"
"passed","Thu Sep 23 11:57:58 UTC 2021","Thu Sep 23 11:58:34 UTC 2021","36600","","test","TestRegister","","","Проверка отображения фотографий товара","Проверка отображения фотографий товара"
"passed","Thu Sep 23 11:57:31 UTC 2021","Thu Sep 23 11:57:48 UTC 2021","17149","","test","TestRegister","","","Кнопка Забыл пароль","Кнопка Забыл пароль"
"passed","Thu Sep 23 11:52:42 UTC 2021","Thu Sep 23 11:53:03 UTC 2021","21131","","test","TestRegister","","","Header shipping_and_payment","Test shipping_and_payment"
"broken","Thu Sep 23 11:55:59 UTC 2021","Thu Sep 23 11:56:36 UTC 2021","37427","","test","TestRegister","",""," test profile personal_information","Test test profile personal_information"
"broken","Thu Sep 23 11:48:15 UTC 2021","Thu Sep 23 11:48:43 UTC 2021","27926","","test","TestRegister","","","Sravnenie","Проверка на сравнение"
"broken","Thu Sep 23 12:06:49 UTC 2021","Thu Sep 23 12:07:17 UTC 2021","27964","","test","TestRegister","","","Проверка отображения наименования","Проверка отображения наименования"
"broken","Thu Sep 23 12:00:11 UTC 2021","Thu Sep 23 12:00:42 UTC 2021","31384","","test","TestRegister","","","Проверка отображения информации наличия товара","Проверка отображения информации наличия товара"
"broken","Thu Sep 23 11:54:43 UTC 2021","Thu Sep 23 11:55:12 UTC 2021","28549","","test","TestRegister","",""," test profile","Test test profile"
"passed","Thu Sep 23 11:46:47 UTC 2021","Thu Sep 23 11:47:02 UTC 2021","14842","","test","TestRegister","","","Close choose sity click no","WTF!&BRO!&"
"passed","Thu Sep 23 11:46:01 UTC 2021","Thu Sep 23 11:46:14 UTC 2021","13046","","test","TestRegister","","","Close choose sity","WTF!&BRO!&"
"passed","Thu Sep 23 11:52:03 UTC 2021","Thu Sep 23 11:52:30 UTC 2021","27094","","test","TestRegister","","","Header Catalog","Test Catalog"
"broken","Thu Sep 23 11:47:13 UTC 2021","Thu Sep 23 11:47:23 UTC 2021","9515","","test","TestRegister","","","Register","Проверка на регистрацию"
"passed","Thu Sep 23 11:59:27 UTC 2021","Thu Sep 23 12:00:01 UTC 2021","33638","","test","TestRegister","","","Проверка отображения цены","Проверка отображения цены"
